id_business,name,#_reviews,address,#_stars
51,Hoang Van,1,54 avenue Jean Jaurès,4
52,Happy Lunch,4,12 Rue Mars,4
53,Le Petit Basque,16,13 Rue Du colonel-fabien,4
54,L’Ardennais,3,9 Avenue Jean Jaurès,4
55,Bistrot du Forum,9,6 Place Forum,3
56,Excelsior,3,96 place Drouet d'Erlon,3
57,Gin Pamp,26,14 rue Théodore Dubois,4
58,Le Saint-Rémi,3,4 bis esplanade Fléchambault,4
59,Le Grand Café,57,92 place Drouet d'Erlon,3
60,Le Lion de Belfort,34,Place Drouet d'Erlon,3
61,Kim-long,7,14 Rue de Tambour,4
